ratiocoverage,guard_number,map_type,map_size,map_density,
0.0112,1,maze,10000,0.6661,
0.0164,2,maze,10000,0.6661,
0.0385,3,maze,10000,0.6661,
0.0637,4,maze,10000,0.6661,
0.1017,5,maze,10000,0.6661,
0.1408,6,maze,10000,0.6661,
0.1879,7,maze,10000,0.6661,
0.2447,8,maze,10000,0.6661,
0.2871,9,maze,10000,0.6661,
0.3204,10,maze,10000,0.6661,
0.0076,1,maze,10000,0.6666,
0.0217,2,maze,10000,0.6666,
0.0495,3,maze,10000,0.6666,
0.0732,4,maze,10000,0.6666,
0.1052,5,maze,10000,0.6666,
0.1406,6,maze,10000,0.6666,
0.1817,7,maze,10000,0.6666,
0.2159,8,maze,10000,0.6666,
0.2622,9,maze,10000,0.6666,
0.3014,10,maze,10000,0.6666,
0.0143,1,maze,10000,0.6668,
0.0258,2,maze,10000,0.6668,
0.0344,3,maze,10000,0.6668,
0.0628,4,maze,10000,0.6668,
0.0894,5,maze,10000,0.6668,
0.1313,6,maze,10000,0.6668,
0.1795,7,maze,10000,0.6668,
0.2241,8,maze,10000,0.6668,
0.2631,9,maze,10000,0.6668,
0.3139,10,maze,10000,0.6668,
0.006,1,maze,10000,0.6676,
0.0197,2,maze,10000,0.6676,
0.036,3,maze,10000,0.6676,
0.0777,4,maze,10000,0.6676,
0.1093,5,maze,10000,0.6676,
0.1434,6,maze,10000,0.6676,
0.1823,7,maze,10000,0.6676,
0.2366,8,maze,10000,0.6676,
0.3046,9,maze,10000,0.6676,
0.346,10,maze,10000,0.6676,
0.0115,1,maze,10000,0.6665,
0.024,2,maze,10000,0.6665,
0.0503,3,maze,10000,0.6665,
0.0812,4,maze,10000,0.6665,
0.1121,5,maze,10000,0.6665,
0.1535,6,maze,10000,0.6665,
0.1873,7,maze,10000,0.6665,
0.223,8,maze,10000,0.6665,
0.2761,9,maze,10000,0.6665,
0.3231,10,maze,10000,0.6665,
