ratiocoverage,guard_number,map_type,map_size,map_density,
0.0356,10,maze,10000,0.0,
0.0856,10,maze,10000,0.0,
0.1711,10,maze,10000,0.0,
0.2506,10,maze,10000,0.0,
0.3793,10,maze,10000,0.0,
0.508,10,maze,10000,0.0,
0.6008,10,maze,10000,0.0,
0.7307,10,maze,10000,0.0,
0.7754,10,maze,10000,0.0,
0.8696,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0978,10,maze,10000,0.0,
0.1996,10,maze,10000,0.0,
0.3088,10,maze,10000,0.0,
0.3909,10,maze,10000,0.0,
0.4961,10,maze,10000,0.0,
0.6148,10,maze,10000,0.0,
0.7136,10,maze,10000,0.0,
0.7974,10,maze,10000,0.0,
0.8376,10,maze,10000,0.0,
0.0298,10,maze,10000,0.0,
0.0865,10,maze,10000,0.0,
0.1872,10,maze,10000,0.0,
0.2541,10,maze,10000,0.0,
0.3673,10,maze,10000,0.0,
0.4753,10,maze,10000,0.0,
0.6112,10,maze,10000,0.0,
0.7236,10,maze,10000,0.0,
0.7818,10,maze,10000,0.0,
0.8405,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0957,10,maze,10000,0.0,
0.1902,10,maze,10000,0.0,
0.2929,10,maze,10000,0.0,
0.3745,10,maze,10000,0.0,
0.4972,10,maze,10000,0.0,
0.6149,10,maze,10000,0.0,
0.6691,10,maze,10000,0.0,
0.7669,10,maze,10000,0.0,
0.8048,10,maze,10000,0.0,
0.0226,10,maze,10000,0.0,
0.0858,10,maze,10000,0.0,
0.192,10,maze,10000,0.0,
0.2684,10,maze,10000,0.0,
0.4099,10,maze,10000,0.0,
0.4686,10,maze,10000,0.0,
0.5819,10,maze,10000,0.0,
0.6567,10,maze,10000,0.0,
0.7733,10,maze,10000,0.0,
0.8284,10,maze,10000,0.0,
0.0268,10,maze,10000,0.0,
0.0978,10,maze,10000,0.0,
0.2046,10,maze,10000,0.0,
0.3122,10,maze,10000,0.0,
0.4401,10,maze,10000,0.0,
0.51,10,maze,10000,0.0,
0.5728,10,maze,10000,0.0,
0.6944,10,maze,10000,0.0,
0.7761,10,maze,10000,0.0,
0.8538,10,maze,10000,0.0,
0.0155,10,maze,10000,0.0,
0.0867,10,maze,10000,0.0,
0.1632,10,maze,10000,0.0,
0.28,10,maze,10000,0.0,
0.41,10,maze,10000,0.0,
0.535,10,maze,10000,0.0,
0.6057,10,maze,10000,0.0,
0.6876,10,maze,10000,0.0,
0.7677,10,maze,10000,0.0,
0.886,10,maze,10000,0.0,
0.0268,10,maze,10000,0.0,
0.095,10,maze,10000,0.0,
0.2011,10,maze,10000,0.0,
0.2836,10,maze,10000,0.0,
0.3834,10,maze,10000,0.0,
0.4823,10,maze,10000,0.0,
0.5608,10,maze,10000,0.0,
0.6688,10,maze,10000,0.0,
0.7432,10,maze,10000,0.0,
0.811,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0935,10,maze,10000,0.0,
0.1751,10,maze,10000,0.0,
0.2617,10,maze,10000,0.0,
0.3668,10,maze,10000,0.0,
0.5229,10,maze,10000,0.0,
0.6473,10,maze,10000,0.0,
0.7383,10,maze,10000,0.0,
0.8429,10,maze,10000,0.0,
0.8738,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.098,10,maze,10000,0.0,
0.1862,10,maze,10000,0.0,
0.2705,10,maze,10000,0.0,
0.368,10,maze,10000,0.0,
0.4691,10,maze,10000,0.0,
0.6098,10,maze,10000,0.0,
0.7081,10,maze,10000,0.0,
0.8126,10,maze,10000,0.0,
0.8834,10,maze,10000,0.0,
0.0343,10,maze,10000,0.0,
0.1047,10,maze,10000,0.0,
0.1683,10,maze,10000,0.0,
0.2511,10,maze,10000,0.0,
0.3567,10,maze,10000,0.0,
0.4901,10,maze,10000,0.0,
0.5721,10,maze,10000,0.0,
0.7347,10,maze,10000,0.0,
0.7798,10,maze,10000,0.0,
0.8346,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0935,10,maze,10000,0.0,
0.1706,10,maze,10000,0.0,
0.2851,10,maze,10000,0.0,
0.399,10,maze,10000,0.0,
0.5542,10,maze,10000,0.0,
0.6475,10,maze,10000,0.0,
0.7364,10,maze,10000,0.0,
0.8262,10,maze,10000,0.0,
0.8575,10,maze,10000,0.0,
0.029,10,maze,10000,0.0,
0.088,10,maze,10000,0.0,
0.1932,10,maze,10000,0.0,
0.2982,10,maze,10000,0.0,
0.4309,10,maze,10000,0.0,
0.5472,10,maze,10000,0.0,
0.663,10,maze,10000,0.0,
0.7481,10,maze,10000,0.0,
0.8003,10,maze,10000,0.0,
0.8327,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1055,10,maze,10000,0.0,
0.1901,10,maze,10000,0.0,
0.2941,10,maze,10000,0.0,
0.3868,10,maze,10000,0.0,
0.5322,10,maze,10000,0.0,
0.6271,10,maze,10000,0.0,
0.6902,10,maze,10000,0.0,
0.7685,10,maze,10000,0.0,
0.8061,10,maze,10000,0.0,
0.0226,10,maze,10000,0.0,
0.0893,10,maze,10000,0.0,
0.1562,10,maze,10000,0.0,
0.2482,10,maze,10000,0.0,
0.3302,10,maze,10000,0.0,
0.4519,10,maze,10000,0.0,
0.5454,10,maze,10000,0.0,
0.6955,10,maze,10000,0.0,
0.743,10,maze,10000,0.0,
0.7978,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0831,10,maze,10000,0.0,
0.1833,10,maze,10000,0.0,
0.3041,10,maze,10000,0.0,
0.4173,10,maze,10000,0.0,
0.5164,10,maze,10000,0.0,
0.5944,10,maze,10000,0.0,
0.6737,10,maze,10000,0.0,
0.7135,10,maze,10000,0.0,
0.7676,10,maze,10000,0.0,
0.029,10,maze,10000,0.0,
0.0855,10,maze,10000,0.0,
0.1673,10,maze,10000,0.0,
0.2411,10,maze,10000,0.0,
0.3635,10,maze,10000,0.0,
0.5124,10,maze,10000,0.0,
0.6402,10,maze,10000,0.0,
0.706,10,maze,10000,0.0,
0.7834,10,maze,10000,0.0,
0.8438,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1068,10,maze,10000,0.0,
0.1947,10,maze,10000,0.0,
0.2984,10,maze,10000,0.0,
0.3501,10,maze,10000,0.0,
0.4688,10,maze,10000,0.0,
0.5732,10,maze,10000,0.0,
0.6232,10,maze,10000,0.0,
0.7333,10,maze,10000,0.0,
0.8071,10,maze,10000,0.0,
0.0225,10,maze,10000,0.0,
0.0864,10,maze,10000,0.0,
0.1802,10,maze,10000,0.0,
0.2891,10,maze,10000,0.0,
0.3738,10,maze,10000,0.0,
0.5154,10,maze,10000,0.0,
0.5977,10,maze,10000,0.0,
0.6728,10,maze,10000,0.0,
0.7418,10,maze,10000,0.0,
0.7938,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0922,10,maze,10000,0.0,
0.1574,10,maze,10000,0.0,
0.2872,10,maze,10000,0.0,
0.3725,10,maze,10000,0.0,
0.4234,10,maze,10000,0.0,
0.5304,10,maze,10000,0.0,
0.6349,10,maze,10000,0.0,
0.7326,10,maze,10000,0.0,
0.8497,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0967,10,maze,10000,0.0,
0.1786,10,maze,10000,0.0,
0.2744,10,maze,10000,0.0,
0.4161,10,maze,10000,0.0,
0.5538,10,maze,10000,0.0,
0.6062,10,maze,10000,0.0,
0.7367,10,maze,10000,0.0,
0.8237,10,maze,10000,0.0,
0.8566,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1068,10,maze,10000,0.0,
0.2052,10,maze,10000,0.0,
0.3162,10,maze,10000,0.0,
0.4196,10,maze,10000,0.0,
0.4719,10,maze,10000,0.0,
0.5651,10,maze,10000,0.0,
0.6346,10,maze,10000,0.0,
0.7054,10,maze,10000,0.0,
0.811,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0962,10,maze,10000,0.0,
0.1694,10,maze,10000,0.0,
0.2731,10,maze,10000,0.0,
0.3657,10,maze,10000,0.0,
0.4695,10,maze,10000,0.0,
0.5841,10,maze,10000,0.0,
0.6663,10,maze,10000,0.0,
0.751,10,maze,10000,0.0,
0.8419,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0869,10,maze,10000,0.0,
0.1937,10,maze,10000,0.0,
0.3245,10,maze,10000,0.0,
0.4146,10,maze,10000,0.0,
0.5225,10,maze,10000,0.0,
0.6049,10,maze,10000,0.0,
0.6893,10,maze,10000,0.0,
0.7698,10,maze,10000,0.0,
0.8188,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1053,10,maze,10000,0.0,
0.1913,10,maze,10000,0.0,
0.2742,10,maze,10000,0.0,
0.3785,10,maze,10000,0.0,
0.5113,10,maze,10000,0.0,
0.6099,10,maze,10000,0.0,
0.6918,10,maze,10000,0.0,
0.7513,10,maze,10000,0.0,
0.8155,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.095,10,maze,10000,0.0,
0.1664,10,maze,10000,0.0,
0.2389,10,maze,10000,0.0,
0.3684,10,maze,10000,0.0,
0.4394,10,maze,10000,0.0,
0.5671,10,maze,10000,0.0,
0.6293,10,maze,10000,0.0,
0.7609,10,maze,10000,0.0,
0.8115,10,maze,10000,0.0,
0.0223,10,maze,10000,0.0,
0.0808,10,maze,10000,0.0,
0.1612,10,maze,10000,0.0,
0.261,10,maze,10000,0.0,
0.3869,10,maze,10000,0.0,
0.5201,10,maze,10000,0.0,
0.5906,10,maze,10000,0.0,
0.6513,10,maze,10000,0.0,
0.7439,10,maze,10000,0.0,
0.8106,10,maze,10000,0.0,
0.0268,10,maze,10000,0.0,
0.0965,10,maze,10000,0.0,
0.2026,10,maze,10000,0.0,
0.308,10,maze,10000,0.0,
0.3755,10,maze,10000,0.0,
0.5148,10,maze,10000,0.0,
0.6084,10,maze,10000,0.0,
0.6858,10,maze,10000,0.0,
0.795,10,maze,10000,0.0,
0.8568,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0936,10,maze,10000,0.0,
0.1638,10,maze,10000,0.0,
0.2797,10,maze,10000,0.0,
0.3647,10,maze,10000,0.0,
0.4544,10,maze,10000,0.0,
0.5645,10,maze,10000,0.0,
0.6919,10,maze,10000,0.0,
0.7925,10,maze,10000,0.0,
0.8692,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.087,10,maze,10000,0.0,
0.1742,10,maze,10000,0.0,
0.3033,10,maze,10000,0.0,
0.4185,10,maze,10000,0.0,
0.4929,10,maze,10000,0.0,
0.6177,10,maze,10000,0.0,
0.6977,10,maze,10000,0.0,
0.7591,10,maze,10000,0.0,
0.8204,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1068,10,maze,10000,0.0,
0.2008,10,maze,10000,0.0,
0.3,10,maze,10000,0.0,
0.4128,10,maze,10000,0.0,
0.5393,10,maze,10000,0.0,
0.6223,10,maze,10000,0.0,
0.6908,10,maze,10000,0.0,
0.7604,10,maze,10000,0.0,
0.8322,10,maze,10000,0.0,
0.0215,10,maze,10000,0.0,
0.0899,10,maze,10000,0.0,
0.1702,10,maze,10000,0.0,
0.2992,10,maze,10000,0.0,
0.4039,10,maze,10000,0.0,
0.4796,10,maze,10000,0.0,
0.6109,10,maze,10000,0.0,
