ratiocoverage,guard_number,map_type,map_size,map_density
0.0356,1,maze,10000,0
0.0856,2,maze,10000,0
0.1711,3,maze,10000,0
0.2506,4,maze,10000,0
0.3793,5,maze,10000,0
0.508,6,maze,10000,0
0.6008,7,maze,10000,0
0.7307,8,maze,10000,0
0.7754,9,maze,10000,0
0.8696,10,maze,10000,0
0.0356,1,maze,10000,0
0.0978,2,maze,10000,0
0.1996,3,maze,10000,0
0.3088,4,maze,10000,0
0.3909,5,maze,10000,0
0.4961,6,maze,10000,0
0.6148,7,maze,10000,0
0.7136,8,maze,10000,0
0.7974,9,maze,10000,0
0.8376,10,maze,10000,0
0.0298,1,maze,10000,0
0.0865,2,maze,10000,0
0.1872,3,maze,10000,0
0.2541,4,maze,10000,0
0.3673,5,maze,10000,0
0.4753,6,maze,10000,0
0.6112,7,maze,10000,0
0.7236,8,maze,10000,0
0.7818,9,maze,10000,0
0.8405,10,maze,10000,0
0.0356,1,maze,10000,0
0.0957,2,maze,10000,0
0.1902,3,maze,10000,0
0.2929,4,maze,10000,0
0.3745,5,maze,10000,0
0.4972,6,maze,10000,0
0.6149,7,maze,10000,0
0.6691,8,maze,10000,0
0.7669,9,maze,10000,0
0.8048,10,maze,10000,0
0.0226,1,maze,10000,0
0.0858,2,maze,10000,0
0.192,3,maze,10000,0
0.2684,4,maze,10000,0
0.4099,5,maze,10000,0
0.4686,6,maze,10000,0
0.5819,7,maze,10000,0
0.6567,8,maze,10000,0
0.7733,9,maze,10000,0
0.8284,10,maze,10000,0
0.0268,1,maze,10000,0
0.0978,2,maze,10000,0
0.2046,3,maze,10000,0
0.3122,4,maze,10000,0
0.4401,5,maze,10000,0
0.51,6,maze,10000,0
0.5728,7,maze,10000,0
0.6944,8,maze,10000,0
0.7761,9,maze,10000,0
0.8538,10,maze,10000,0
0.0155,1,maze,10000,0
0.0867,2,maze,10000,0
0.1632,3,maze,10000,0
0.28,4,maze,10000,0
0.41,5,maze,10000,0
0.535,6,maze,10000,0
0.6057,7,maze,10000,0
0.6876,8,maze,10000,0
0.7677,9,maze,10000,0
0.886,10,maze,10000,0
0.0268,1,maze,10000,0
0.095,2,maze,10000,0
0.2011,3,maze,10000,0
0.2836,4,maze,10000,0
0.3834,5,maze,10000,0
0.4823,6,maze,10000,0
0.5608,7,maze,10000,0
0.6688,8,maze,10000,0
