ratioexplored,guard_number,map_type,map_size,map_density,moves
0.0083,0,maze,10000,0.7609,10
0.0313,0,maze,10000,0.7609,20
0.0498,0,maze,10000,0.7609,30
0.0746,0,maze,10000,0.7609,40
0.0993,0,maze,10000,0.7609,50
0.1385,0,maze,10000,0.7609,60
0.1683,0,maze,10000,0.7609,70
0.1928,0,maze,10000,0.7609,80
0.2408,0,maze,10000,0.7609,90
0.0085,1,maze,10000,0.7603,10
0.0216,1,maze,10000,0.7603,20
0.0554,1,maze,10000,0.7603,30
0.0857,1,maze,10000,0.7603,40
0.1246,1,maze,10000,0.7603,50
0.1641,1,maze,10000,0.7603,60
0.2062,1,maze,10000,0.7603,70
0.2535,1,maze,10000,0.7603,80
0.2911,1,maze,10000,0.7603,90
0.0078,2,maze,10000,0.761,10
0.0238,2,maze,10000,0.761,20
0.0438,2,maze,10000,0.761,30
0.0661,2,maze,10000,0.761,40
0.1168,2,maze,10000,0.761,50
0.1483,2,maze,10000,0.761,60
0.1778,2,maze,10000,0.761,70
0.2024,2,maze,10000,0.761,80
0.2459,2,maze,10000,0.761,90
0.0136,3,maze,10000,0.7609,10
0.0288,3,maze,10000,0.7609,20
0.0535,3,maze,10000,0.7609,30
0.0825,3,maze,10000,0.7609,40
0.1224,3,maze,10000,0.7609,50
0.169,3,maze,10000,0.7609,60
0.2155,3,maze,10000,0.7609,70
0.2561,3,maze,10000,0.7609,80
0.2978,3,maze,10000,0.7609,90
0.0143,4,maze,10000,0.7618,10
0.0329,4,maze,10000,0.7618,20
0.0519,4,maze,10000,0.7618,30
0.0867,4,maze,10000,0.7618,40
0.1226,4,maze,10000,0.7618,50
0.1696,4,maze,10000,0.7618,60
0.2086,4,maze,10000,0.7618,70
0.244,4,maze,10000,0.7618,80
0.3231,4,maze,10000,0.7618,90
0.0095,5,maze,10000,0.7611,10
0.0248,5,maze,10000,0.7611,20
0.0454,5,maze,10000,0.7611,30
0.0779,5,maze,10000,0.7611,40
0.1138,5,maze,10000,0.7611,50
0.1602,5,maze,10000,0.7611,60
0.1972,5,maze,10000,0.7611,70
0.2285,5,maze,10000,0.7611,80
0.2588,5,maze,10000,0.7611,90
0.0084,6,maze,10000,0.7613,10
0.0259,6,maze,10000,0.7613,20
0.0466,6,maze,10000,0.7613,30
0.0821,6,maze,10000,0.7613,40
0.1217,6,maze,10000,0.7613,50
0.1527,6,maze,10000,0.7613,60
0.1885,6,maze,10000,0.7613,70
0.2403,6,maze,10000,0.7613,80
0.2781,6,maze,10000,0.7613,90
0.0108,7,maze,10000,0.7607,10
0.0286,7,maze,10000,0.7607,20
0.0572,7,maze,10000,0.7607,30
0.0922,7,maze,10000,0.7607,40
0.1188,7,maze,10000,0.7607,50
0.1584,7,maze,10000,0.7607,60
0.1944,7,maze,10000,0.7607,70
0.2397,7,maze,10000,0.7607,80
0.2787,7,maze,10000,0.7607,90
0.0079,8,maze,10000,0.7613,10
0.0207,8,maze,10000,0.7613,20
0.0414,8,maze,10000,0.7613,30
0.0721,8,maze,10000,0.7613,40
0.0985,8,maze,10000,0.7613,50
0.135,8,maze,10000,0.7613,60
0.1722,8,maze,10000,0.7613,70
0.2217,8,maze,10000,0.7613,80
0.2603,8,maze,10000,0.7613,90
0.0089,9,maze,10000,0.7605,10
0.0365,9,maze,10000,0.7605,20
0.0519,9,maze,10000,0.7605,30
0.082,9,maze,10000,0.7605,40
0.1106,9,maze,10000,0.7605,50
0.1608,9,maze,10000,0.7605,60
0.2214,9,maze,10000,0.7605,70
0.2646,9,maze,10000,0.7605,80
