ratioexplored,guard_number,map_type,map_size,map_density,moves
0.0076,0,maze,10000,0.7609,10
0.0171,0,maze,10000,0.7609,20
0.0455,0,maze,10000,0.7609,30
0.0907,0,maze,10000,0.7609,40
0.1114,0,maze,10000,0.7609,50
0.159,0,maze,10000,0.7609,60
0.1999,0,maze,10000,0.7609,70
0.2528,0,maze,10000,0.7609,80
0.3126,0,maze,10000,0.7609,90
0.0125,1,maze,10000,0.7603,10
0.0241,1,maze,10000,0.7603,20
0.051,1,maze,10000,0.7603,30
0.0826,1,maze,10000,0.7603,40
0.1133,1,maze,10000,0.7603,50
0.1477,1,maze,10000,0.7603,60
0.1965,1,maze,10000,0.7603,70
0.2575,1,maze,10000,0.7603,80
0.3087,1,maze,10000,0.7603,90
0.0126,2,maze,10000,0.761,10
0.0286,2,maze,10000,0.761,20
0.0494,2,maze,10000,0.761,30
0.0746,2,maze,10000,0.761,40
0.109,2,maze,10000,0.761,50
0.1634,2,maze,10000,0.761,60
0.2217,2,maze,10000,0.761,70
0.2657,2,maze,10000,0.761,80
0.3339,2,maze,10000,0.761,90
0.0076,3,maze,10000,0.7609,10
0.0275,3,maze,10000,0.7609,20
0.0539,3,maze,10000,0.7609,30
0.0787,3,maze,10000,0.7609,40
0.1239,3,maze,10000,0.7609,50
0.1705,3,maze,10000,0.7609,60
0.2222,3,maze,10000,0.7609,70
0.2799,3,maze,10000,0.7609,80
0.3342,3,maze,10000,0.7609,90
0.0099,4,maze,10000,0.7618,10
0.0293,4,maze,10000,0.7618,20
0.0532,4,maze,10000,0.7618,30
0.0897,4,maze,10000,0.7618,40
0.1231,4,maze,10000,0.7618,50
0.1707,4,maze,10000,0.7618,60
0.2122,4,maze,10000,0.7618,70
0.2639,4,maze,10000,0.7618,80
0.3172,4,maze,10000,0.7618,90
0.0105,5,maze,10000,0.7611,10
0.0252,5,maze,10000,0.7611,20
0.0465,5,maze,10000,0.7611,30
0.0796,5,maze,10000,0.7611,40
0.1073,5,maze,10000,0.7611,50
0.1507,5,maze,10000,0.7611,60
0.1954,5,maze,10000,0.7611,70
0.2501,5,maze,10000,0.7611,80
0.3138,5,maze,10000,0.7611,90
0.0103,6,maze,10000,0.7613,10
0.0274,6,maze,10000,0.7613,20
0.0558,6,maze,10000,0.7613,30
0.0873,6,maze,10000,0.7613,40
0.1235,6,maze,10000,0.7613,50
0.1741,6,maze,10000,0.7613,60
0.2251,6,maze,10000,0.7613,70
0.2654,6,maze,10000,0.7613,80
0.3142,6,maze,10000,0.7613,90
0.0108,7,maze,10000,0.7607,10
0.029,7,maze,10000,0.7607,20
0.05,7,maze,10000,0.7607,30
0.0785,7,maze,10000,0.7607,40
0.1156,7,maze,10000,0.7607,50
0.1567,7,maze,10000,0.7607,60
0.2003,7,maze,10000,0.7607,70
0.2537,7,maze,10000,0.7607,80
0.3179,7,maze,10000,0.7607,90
0.0082,8,maze,10000,0.7613,10
0.0239,8,maze,10000,0.7613,20
0.0472,8,maze,10000,0.7613,30
0.073,8,maze,10000,0.7613,40
0.1128,8,maze,10000,0.7613,50
0.1581,8,maze,10000,0.7613,60
0.2107,8,maze,10000,0.7613,70
0.2497,8,maze,10000,0.7613,80
0.3045,8,maze,10000,0.7613,90
0.0151,9,maze,10000,0.7605,10
0.0319,9,maze,10000,0.7605,20
0.0586,9,maze,10000,0.7605,30
0.0876,9,maze,10000,0.7605,40
0.1238,9,maze,10000,0.7605,50
0.1698,9,maze,10000,0.7605,60
0.22,9,maze,10000,0.7605,70
0.2783,9,maze,10000,0.7605,80
0.3439,9,maze,10000,0.7605,90
0.0085,10,maze,10000,0.7611,10
0.0284,10,maze,10000,0.7611,20
0.0557,10,maze,10000,0.7611,30
0.1003,10,maze,10000,0.7611,40
0.1426,10,maze,10000,0.7611,50
0.1802,10,maze,10000,0.7611,60
0.2111,10,maze,10000,0.7611,70
0.2534,10,maze,10000,0.7611,80
0.314,10,maze,10000,0.7611,90
0.0123,11,maze,10000,0.7606,10
0.0295,11,maze,10000,0.7606,20
0.0616,11,maze,10000,0.7606,30
0.0899,11,maze,10000,0.7606,40
0.1212,11,maze,10000,0.7606,50
0.1584,11,maze,10000,0.7606,60
0.202,11,maze,10000,0.7606,70
0.2504,11,maze,10000,0.7606,80
0.303,11,maze,10000,0.7606,90
0.0087,12,maze,10000,0.7614,10
0.0192,12,maze,10000,0.7614,20
0.046,12,maze,10000,0.7614,30
0.0847,12,maze,10000,0.7614,40
0.1139,12,maze,10000,0.7614,50
0.1497,12,maze,10000,0.7614,60
0.1994,12,maze,10000,0.7614,70
0.253,12,maze,10000,0.7614,80
0.2974,12,maze,10000,0.7614,90
0.0101,13,maze,10000,0.7617,10
0.0342,13,maze,10000,0.7617,20
0.0605,13,maze,10000,0.7617,30
0.0954,13,maze,10000,0.7617,40
0.1368,13,maze,10000,0.7617,50
0.1666,13,maze,10000,0.7617,60
0.2011,13,maze,10000,0.7617,70
0.2351,13,maze,10000,0.7617,80
0.298,13,maze,10000,0.7617,90
0.006,14,maze,10000,0.7614,10
0.025,14,maze,10000,0.7614,20
0.0374,14,maze,10000,0.7614,30
0.0709,14,maze,10000,0.7614,40
0.0996,14,maze,10000,0.7614,50
0.1394,14,maze,10000,0.7614,60
0.1849,14,maze,10000,0.7614,70
0.232,14,maze,10000,0.7614,80
0.2821,14,maze,10000,0.7614,90
0.0143,15,maze,10000,0.7607,10
0.0331,15,maze,10000,0.7607,20
0.0621,15,maze,10000,0.7607,30
0.0904,15,maze,10000,0.7607,40
0.1343,15,maze,10000,0.7607,50
0.1904,15,maze,10000,0.7607,60
0.2413,15,maze,10000,0.7607,70
0.2969,15,maze,10000,0.7607,80
0.3572,15,maze,10000,0.7607,90
0.0077,16,maze,10000,0.7612,10
0.0235,16,maze,10000,0.7612,20
0.0519,16,maze,10000,0.7612,30
0.0786,16,maze,10000,0.7612,40
0.1121,16,maze,10000,0.7612,50
0.1571,16,maze,10000,0.7612,60
0.1955,16,maze,10000,0.7612,70
0.2489,16,maze,10000,0.7612,80
0.2996,16,maze,10000,0.7612,90
0.0071,17,maze,10000,0.7606,10
0.0243,17,maze,10000,0.7606,20
0.0385,17,maze,10000,0.7606,30
0.0716,17,maze,10000,0.7606,40
0.0954,17,maze,10000,0.7606,50
0.1426,17,maze,10000,0.7606,60
0.202,17,maze,10000,0.7606,70
0.2594,17,maze,10000,0.7606,80
0.3185,17,maze,10000,0.7606,90
0.013,18,maze,10000,0.7596,10
0.0302,18,maze,10000,0.7596,20
0.0588,18,maze,10000,0.7596,30
0.0915,18,maze,10000,0.7596,40
0.1184,18,maze,10000,0.7596,50
0.1549,18,maze,10000,0.7596,60
0.1915,18,maze,10000,0.7596,70
0.2522,18,maze,10000,0.7596,80
0.2956,18,maze,10000,0.7596,90
0.0105,19,maze,10000,0.761,10
0.0273,19,maze,10000,0.761,20
0.0445,19,maze,10000,0.761,30
0.0669,19,maze,10000,0.761,40
0.1025,19,maze,10000,0.761,50
0.1351,19,maze,10000,0.761,60
0.1721,19,maze,10000,0.761,70
0.2265,19,maze,10000,0.761,80
0.2584,19,maze,10000,0.761,90
0.0598,0,maze,10000,0.7609,100
0.1414,0,maze,10000,0.7609,150
0.3029,0,maze,10000,0.7609,200
0.4538,0,maze,10000,0.7609,250
0.5299,0,maze,10000,0.7609,300
0.6821,0,maze,10000,0.7609,350
0.7912,0,maze,10000,0.7609,400
0.8089,0,maze,10000,0.7609,450
0.0785,1,maze,10000,0.7603,100
0.157,1,maze,10000,0.7603,150
0.2477,1,maze,10000,0.7603,200
0.362,1,maze,10000,0.7603,250
0.4788,1,maze,10000,0.7603,300
0.6828,1,maze,10000,0.7603,350
0.8568,1,maze,10000,0.7603,400
0.938,1,maze,10000,0.7603,450
0.0541,2,maze,10000,0.761,100
0.1434,2,maze,10000,0.761,150
0.2784,2,maze,10000,0.761,200
0.4236,2,maze,10000,0.761,250
0.5438,2,maze,10000,0.761,300
0.6852,2,maze,10000,0.761,350
0.8254,2,maze,10000,0.761,400
0.8472,2,maze,10000,0.761,450
0.0396,3,maze,10000,0.7609,100
0.1406,3,maze,10000,0.7609,150
0.2559,3,maze,10000,0.7609,200
0.419,3,maze,10000,0.7609,250
0.5623,3,maze,10000,0.7609,300
0.6816,3,maze,10000,0.7609,350
0.8008,3,maze,10000,0.7609,400
0.8893,3,maze,10000,0.7609,450
0.051,4,maze,10000,0.7618,100
0.1671,4,maze,10000,0.7618,150
0.2734,4,maze,10000,0.7618,200
0.4255,4,maze,10000,0.7618,250
0.5662,4,maze,10000,0.7618,300
0.6278,4,maze,10000,0.7618,350
0.7135,4,maze,10000,0.7618,400
0.8234,4,maze,10000,0.7618,450
0.0705,5,maze,10000,0.7611,100
0.1807,5,maze,10000,0.7611,150
0.2723,5,maze,10000,0.7611,200
0.3756,5,maze,10000,0.7611,250
0.5313,5,maze,10000,0.7611,300
0.6653,5,maze,10000,0.7611,350
0.8105,5,maze,10000,0.7611,400
0.857,5,maze,10000,0.7611,450
0.0828,6,maze,10000,0.7613,100
0.1863,6,maze,10000,0.7613,150
0.2631,6,maze,10000,0.7613,200
0.4207,6,maze,10000,0.7613,250
0.507,6,maze,10000,0.7613,300
0.6349,6,maze,10000,0.7613,350
0.7562,6,maze,10000,0.7613,400
0.9043,6,maze,10000,0.7613,450
0.0778,7,maze,10000,0.7607,100
0.1696,7,maze,10000,0.7607,150
0.2926,7,maze,10000,0.7607,200
0.4155,7,maze,10000,0.7607,250
0.5802,7,maze,10000,0.7607,300
0.6766,7,maze,10000,0.7607,350
0.8068,7,maze,10000,0.7607,400
0.883,7,maze,10000,0.7607,450
0.0634,8,maze,10000,0.7613,100
0.1778,8,maze,10000,0.7613,150
0.2933,8,maze,10000,0.7613,200
0.4195,8,maze,10000,0.7613,250
0.6057,8,maze,10000,0.7613,300
0.7435,8,maze,10000,0.7613,350
0.8037,8,maze,10000,0.7613,400
0.8886,8,maze,10000,0.7613,450
0.0523,9,maze,10000,0.7605,100
0.1263,9,maze,10000,0.7605,150
0.273,9,maze,10000,0.7605,200
0.4167,9,maze,10000,0.7605,250
0.569,9,maze,10000,0.7605,300
0.6763,9,maze,10000,0.7605,350
0.7519,9,maze,10000,0.7605,400
0.8766,9,maze,10000,0.7605,450
0.07,10,maze,10000,0.7611,100
0.156,10,maze,10000,0.7611,150
0.265,10,maze,10000,0.7611,200
0.4333,10,maze,10000,0.7611,250
0.5452,10,maze,10000,0.7611,300
0.6696,10,maze,10000,0.7611,350
0.7911,10,maze,10000,0.7611,400
0.8815,10,maze,10000,0.7611,450
0.0569,11,maze,10000,0.7606,100
0.1567,11,maze,10000,0.7606,150
0.2477,11,maze,10000,0.7606,200
0.4021,11,maze,10000,0.7606,250
0.4485,11,maze,10000,0.7606,300
0.5683,11,maze,10000,0.7606,350
0.704,11,maze,10000,0.7606,400
0.8263,11,maze,10000,0.7606,450
0.0668,12,maze,10000,0.7614,100
0.1349,12,maze,10000,0.7614,150
0.2728,12,maze,10000,0.7614,200
0.3776,12,maze,10000,0.7614,250
0.5108,12,maze,10000,0.7614,300
0.6573,12,maze,10000,0.7614,350
0.7956,12,maze,10000,0.7614,400
0.8698,12,maze,10000,0.7614,450
0.0522,13,maze,10000,0.7617,100
0.1161,13,maze,10000,0.7617,150
0.2163,13,maze,10000,0.7617,200
0.322,13,maze,10000,0.7617,250
0.4514,13,maze,10000,0.7617,300
0.5225,13,maze,10000,0.7617,350
0.6626,13,maze,10000,0.7617,400
0.8074,13,maze,10000,0.7617,450
0.0707,14,maze,10000,0.7614,100
0.1792,14,maze,10000,0.7614,150
0.2951,14,maze,10000,0.7614,200
0.4325,14,maze,10000,0.7614,250
0.5877,14,maze,10000,0.7614,300
0.6927,14,maze,10000,0.7614,350
0.7781,14,maze,10000,0.7614,400
0.9063,14,maze,10000,0.7614,450
0.0929,15,maze,10000,0.7607,100
0.1492,15,maze,10000,0.7607,150
0.2836,15,maze,10000,0.7607,200
0.3952,15,maze,10000,0.7607,250
0.5526,15,maze,10000,0.7607,300
0.64,15,maze,10000,0.7607,350
0.8176,15,maze,10000,0.7607,400
0.9107,15,maze,10000,0.7607,450
0.0477,16,maze,10000,0.7612,100
0.1658,16,maze,10000,0.7612,150
0.2911,16,maze,10000,0.7612,200
0.4007,16,maze,10000,0.7612,250
0.5416,16,maze,10000,0.7612,300
0.6581,16,maze,10000,0.7612,350
0.7967,16,maze,10000,0.7612,400
0.8523,16,maze,10000,0.7612,450
0.0507,17,maze,10000,0.7606,100
0.1292,17,maze,10000,0.7606,150
0.2514,17,maze,10000,0.7606,200
0.3829,17,maze,10000,0.7606,250
0.5518,17,maze,10000,0.7606,300
0.7034,17,maze,10000,0.7606,350
0.8471,17,maze,10000,0.7606,400
0.9106,17,maze,10000,0.7606,450
0.0714,18,maze,10000,0.7596,100
0.1253,18,maze,10000,0.7596,150
0.2586,18,maze,10000,0.7596,200
0.3689,18,maze,10000,0.7596,250
0.4708,18,maze,10000,0.7596,300
0.6164,18,maze,10000,0.7596,350
0.7489,18,maze,10000,0.7596,400
0.9051,18,maze,10000,0.7596,450
0.0705,19,maze,10000,0.761,100
0.1703,19,maze,10000,0.761,150
0.2825,19,maze,10000,0.761,200
0.3792,19,maze,10000,0.761,250
0.4531,19,maze,10000,0.761,300
0.5779,19,maze,10000,0.761,350
0.6303,19,maze,10000,0.761,400
0.7235,19,maze,10000,0.761,450
