Thief_algorithm,Guards_algorithms,Thief_success,run_time,n_guards,map_Guard_density,map_type,map_area,
none,BES,0.0,168.87490161057792,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,99.4109330951928,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,162.66289111570615,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,88.73495408493622,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,241.26883077019417,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,207.83387668525782,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,44.63697769839756,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,212.49487537339886,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,76.31295670865414,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,226.41484913621957,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,103.92091997660317,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,130.7769252240391,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,3.3609986881410343,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,82.03495408493626,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,165.6728779971165,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,92.26896195609007,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,138.8529042342957,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,198.19190554615506,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,160.4508806208345,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,12.882996064423105,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,102.88893571891082,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,208.61187930897577,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,91.03293047147493,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,67.8129567086541,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,216.93387668525787,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,56.50296982724375,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,88.6789488375004,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,194.952904234296,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,82.2229435900645,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,171.86289111570622,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,243.89082814647625,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,31.926990816987228,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,226.13185307179643,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,120.75290423429566,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,99.20094621378247,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,91.35695146121834,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,213.81187930897585,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,105.72091997660318,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,103.53293047147496,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,22.965992128846203,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,130.96491472916745,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,111.04291735288533,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,62.60296982724376,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,216.1998688141041,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,147.90189242756512,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,106.41889636314183,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,77.07894883750033,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,146.54089373942404,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,141.4309068580137,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,187.96289111570636,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,104.70094621378252,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,67.35695146121823,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,235.15884388878382,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,27.826990816987234,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,53.729960644231,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,207.4848884919885,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,42.23697769839757,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,99.75695146121834,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,221.29986881410412,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,123.2429173528853,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,127.69892260032121,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,93.63495408493627,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,103.23293047147492,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,142.74291735288543,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,89.65492784775695,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,80.53495408493625,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,94.76693834262868,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,99.58893571891076,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,219.72186619038618,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,136.61889636314194,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,25.892982945833438,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,80.46693834262862,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,42.392982945833424,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,123.1649147291674,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,61.92996064423098,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,69.90094621378238,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,64.92496720352582,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,64.0129567086541,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,57.7469645798079,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,61.19797638653858,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,208.70688586827055,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,125.36491472916735,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,240.22483601763,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,113.5209199766032,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,228.6538504480786,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,110.99892260032112,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,237.86383732948897,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,182.882864878527,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,99.98893571891075,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,41.29298294583343,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,99.23293047147486,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,199.0578976750012,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,126.14291735288535,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,116.25290423429564,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,170.31889636314207,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,150.15789767500095,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,67.00094621378238,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,229.27085438365552,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,30.5489881932693,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,47.35897507467963,22.0,0.003,maze-0.5,10000.0,
