Thief_algorithm,Guards_algorithms,Thief_success,run_time,n_guards,map_Guard_density,map_type,map_area,
none,BES,1.0,211.7798950512831,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,140.2528831522844,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,130.41390292243645,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,73.14197113910241,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,241.26883077019417,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,143.1188963631413,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,198.3508806208339,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,186.11687274968065,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,91.54494096634659,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,114.08691210544936,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,126.73090685801361,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,23.72403887982961,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,176.31889636314187,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,115.4549278477569,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,257.2008150278865,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,207.81390292243688,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,91.2789488375004,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,86.11295670865383,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,75.16194490192323,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,130.4789488375002,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,102.35492784775671,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,1.9609986881410344,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,206.84683339391196,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,115.76491472916734,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,223.2338766852575,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,35.770985569551364,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,69.86896195609002,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,197.65290423429585,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,57.13766416294212,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,220.36586094295026,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,104.99689898685975,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,54.8433261781057,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,42.60296982724377,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,142.62388980384713,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,62.162987189901436,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,50.21103789778701,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,89.60094621378224,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,229.24885700737332,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,208.37989505128309,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,34.11498032211551,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,247.5978452006423,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,85.74494096634632,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,101.82294359006416,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,89.99095933237203,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,79.14494096634655,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,229.0028386413479,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,19.987989505128276,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,105.21093309519287,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,97.81093309519282,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,229.49383308542076,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,201.89689898686012,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,114.19892260032114,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,165.97922647682475,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,217.7898819326933,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,220.71687274968087,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,18.41134192041332,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,198.44791079359055,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,81.57395539679518,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,12.604993440705174,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,59.45195802051306,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,243.70985569551388,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,65.41498032211551,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,106.30163267832711,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,57.236977698397546,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,136.1665295174082,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,269.0568202753218,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,253.46383732948834,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,1.9609986881410344,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,74.84857936804875,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,246.51984257692445,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,132.3529042342956,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,155.96788455641106,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,119.87328682233681,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,146.218896363142,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,84.92294359006449,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,98.81592653589779,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,157.81026452073468,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,55.6129567086541,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,78.16896195608945,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,86.60296982724356,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,169.67490161057785,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,156.9972937823907,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,46.74197113910274,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,157.07490161057768,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,97.88529731720838,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,212.15789767500073,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,130.54089373942395,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,260.8908281464754,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,206.48488849198847,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,74.00198850176045,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,17.95262659497151,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,206.4458871801295,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,134.73890523766158,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,124.791905546154,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,111.854927847757,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,240.86383732948883,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,52.253313059516046,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,255.10283864134715,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,78.19095933237206,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,171.100537388562,22.0,0.003,maze-0.5,10000.0,
