Thief_algorithm,Guards_algorithms,Thief_success,run_time,n_guards,map_Guard_density,map_type,map_area,
none,BES,1.0,209.07989505128322,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,97.82929206977268,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,208.78624353099138,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,233.8758478243607,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,252.49490122419283,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,217.36586094295023,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,220.32186619038603,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,234.4928517599375,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,243.93387668525617,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,227.01484913621954,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,243.46383732948877,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,232.72051115138254,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,214.62388980384696,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,250.54183995320642,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,257.30081502788653,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,202.513902922437,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,63.86329994092638,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,210.69190554615435,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,259.25182683461674,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,183.59392915961635,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,247.64683339391198,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,109.11093309519289,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,276.1157953500014,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,252.42348097862646,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,222.23387668525757,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,129.59055050715156,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,54.302969827243764,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,84.50296982724332,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,211.99487537339866,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,225.46586094294997,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,268.90081502788547,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,201.99892260032075,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,226.13185307179643,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,250.58381109230976,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,93.55097669502948,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,95.01795014935925,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,94.50094621378187,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,43.56532355438778,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,174.60890948173176,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,230.98286487852698,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,247.79784520064229,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,242.29285175993664,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,233.1081318299241,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,180.91592653589842,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,166.16788455641068,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,238.90283864134733,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,232.27584782436062,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,251.44683339391142,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,239.84386356666735,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,223.7338766852574,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,204.39689898685998,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,232.8574888497808,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,56.38529731720845,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,225.48988193269324,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,225.81687274968058,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,209.0848884919884,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,30.931984257692402,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,261.42685963108954,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,246.74818843291504,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,217.7018924275644,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,131.02091997660324,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,204.3812500902863,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,213.0508806208345,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,236.39149672093436,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,252.79082814647592,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,110.78893571891061,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,244.26383732948884,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,231.63887012596234,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,235.94583098641735,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,61.31295670865409,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,250.70783208205262,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,260.82982945833436,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,64.67930146900858,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,223.81644603437385,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,226.73387668525731,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,224.94386356666791,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,228.045218605671,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,21.87098556955138,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,215.18988193269348,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,240.48921335823448,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,208.70688586827055,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,243.10783208205314,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,204.23185307179614,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,191.66289111570583,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,237.41984257692454,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,212.85789767500071,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,247.26383732948835,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,162.6508806208344,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,213.48488849198807,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,153.7329304714744,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,131.87692522403856,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,212.48988193269338,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,51.99730781208019,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,241.5028386413478,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,154.64293843489685,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,239.44183995320677,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,261.87085438365364,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,246.27085438365458,22.0,0.003,maze-0.5,10000.0,
none,BES,1.0,211.17989505128287,22.0,0.003,maze-0.5,10000.0,
none,BES,0.0,86.13495408493613,22.0,0.003,maze-0.5,10000.0,
